ID,Name,Price,Brand,Model,Year,Kilometers,Gearbox,Fuel,Status,CC,Seating Capacity
12688489,2019 Honda Civic VTI-LX MY18,34000,Honda,Civic,2019,43000,Automatic,Unleaded Petrol, Used,1498,5
12688497,2018 Suzuki Vitara RT-S LY,26000,Suzuki,Vitara,2018,92000,Automatic,Unleaded Petrol, Used,1586,5
12688502,2019 Toyota RAV4 GXL 2WD Hybrid Axah52R,50990,Toyota,RAV4,2019,17400,Automatic,Unleaded Petrol/Electric, Used,2487,5
12688520,2006 Honda Civic VTI 40,4500,Honda,Civic,2006,229200,Automatic,Unleaded Petrol, Used,1799,5
12688529,2016 Hyundai Tucson Active X (fwd) TL,25000,Hyundai,Tucson,2016,114000,Automatic,Unleaded Petrol, Used,1999,5
12688531,2012 Mazda 3 SP25 BL 11 Upgrade,14888,Mazda,3,2012,158000,Automatic,Unleaded Petrol, Used,2488,5
12688533,2018 Mazda CX-5 Maxx Sport (4X2) MY18 (KF Series 2),34000,Mazda,CX-5,2018,23000,Automatic,Unleaded Petrol, Used,1997,5
12688637,2018 Renault Koleos Initiale (4X4) XZG MY18,34490,Renault,Koleos,2018,29760,Automatic,Premium Unleaded Petrol, Used,2488,5
12688638,2016 Mazda BT-50 XTR (4X2) MY16,35490,Mazda,BT-50,2016,60848,Automatic,Diesel, Used,3196,5
12688675,2007 Audi A4 2.0 TDI Avant B7,9000,Audi,A4,2007,240000,Automatic,Diesel, Used,1968,5
12688677,2005 Nissan Patrol ST (4X4) GU IV,25000,Nissan,Patrol,2005,353850,Manual,Diesel, Used,2953,7
12688693,2016 BMW X6 Xdrive 50I F16,77500,BMW,X6,2016,50750,Automatic,Premium Unleaded Petrol, Used,4395,5
12688735,2012 Mitsubishi ASX Aspire (4WD) XA MY12,17990,Mitsubishi,ASX,2012,125000,Automatic,Unleaded Petrol, Used,1998,5
12688745,2015 Toyota Kluger GX (4X2) GSU50R,24500,Toyota,Kluger,2015,195000,Automatic,Unleaded Petrol, Used,3456,7
12688790,2015 Isuzu D-MAX LS-U HI-Ride (4X2) TF MY15,31990,Isuzu,D-MAX,2015,144283,Automatic,Diesel, Used,2999,5
12688833,2014 Suzuki Swift GL Navigator FZ MY14,15990,Suzuki,Swift,2014,52626,Automatic,Unleaded Petrol, Used,1372,5
12688834,2019 Mitsubishi Outlander ES 7 Seat (2WD) ZL MY19,29990,Mitsubishi,Outlander,2019,59258,Automatic,Unleaded Petrol, Used,2360,7
12688835,2019 Mitsubishi Eclipse Cross LS (2WD) YA MY19,28990,Mitsubishi,Eclipse Cross,2019,54770,Automatic,Unleaded Petrol, Used,1499,5
12688889,2010 Land Rover Defender 90 MY10,68900,Land Rover,Defender,2010,86719,Manual,Diesel, Used,2401,4
12688939,2020 Ram 1500 Warlock (black/Grey/HYD Blue) MY20,110990,Ram,1500,2020,39969,Automatic,Unleaded Petrol, Used,5654,5
12688960,2015 Kia Sorento SLI (4X4) UM,28870,Kia,Sorento,2015,88169,Automatic,Diesel, Used,2199,7
12688961,2020 Honda HR-V RS MY21,33970,Honda,HR-V,2020,14122,Automatic,Unleaded Petrol, Used,1799,5
12688966,2014 Renault Clio Authentique X98,10500,Renault,Clio,2014,69350,Manual,Unleaded Petrol, Used,898,5
